Отметка времени,"Какая у Вас профессия, должность в Вашей компании?",1)Что Вы видите на картинке?,2)Что Вы видите на картинке?,3)Что Вы видите на картинке?,4)Что Вы видите на картинке?,5)Что Вы видите на картинке?,6)Что Вы видите на картинке? (необязательный вопрос),7)Что Вы видите на картинке,8)Что Вы видите на картинке?,9)Что Вы видите на картинке? (необязательный вопрос),10)Что Вы видите на картинке?,"Если У Вас где-то выбран ответ ""иное"", то напишите номер картинки и ваш ответ сюда",Любите решать задачи по математике?,Стартап или крупная компания?,Что вам больше нравится?,Вы хорошо рисуете?,Красота или функциональность?,Учить или учиться?,Игры или социальные сети?,Руководить или действовать по готовому плану?,Эгоизм или альтруизм?,Как вы отдыхаете?,Интересная работа или хорошая зарплата?
12.12.2018 18:53:42,Другое,Летучая мышь,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Монстр,Моль,,Поцелуй,Четырехлапое животное,,Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,Функциональность,"Хватит учебы, хочу работать","Естественно, соцсети!","Пусть четко скажут, что делать",Главное в жизни - друзья!,С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 18:59:24,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Паук,,Очень!,Свобода и стартап,Решать задачи,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 19:14:12,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Головы детей,Четырехлапое животное,,Лобстер,,Очень!,Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 19:35:47,Другое,Моль,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Лобстер,,"Умею, но не люблю","Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое",Люблю учить!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 20:22:11,Другое,Лицо животного,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное со злом",Паук,,Очень!,"Главное, чтобы было интересно",Решать задачи,Рисую для себя,"Важно и то, и другое","Хватит учебы, хочу работать","Естественно, соцсети!",Хочу быть начальником,"Думаю о себе, но не забываю о других",В шумной веселой компании,Без денег никуда
12.12.2018 20:22:41,Другое,Лицо животного,Медведь,"Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,,Головы женщин,Четырехлапое животное,,Лобстер,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,Хочу заниматься интересным делом
12.12.2018 20:23:58,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура монстра,Моль,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Лобстер,,Я гуманитарий,Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Хочу быть начальником,Главное в жизни - друзья!,В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 20:35:54,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,,Поцелуй,Четырехлапое животное,,Гусениц,10,Очень!,Стабильность и серьезная компания,Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать",Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 20:48:18,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Монстр,Бабочки,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 20:50:57,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Моль,,Поцелуй,Бабочка,,Лобстер,,Очень!,Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать",Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 21:27:32,Другое,Бабочки,Собака,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Бабочки,Шкура животного,Головы женщин,Четырехлапое животное,,Лобстер,,Очень!,Стабильность и серьезная компания,Решать задачи,Рисую для себя,Красота,"Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 21:46:09,Другое,Лицо животного,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Гусениц,,Очень!,Свобода и стартап,Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 21:53:11,Другое,Летучая мышь,Медведь,Зеркало с одним человеком,Монстр,Бабочки,,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,"Важно и то, и другое","Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 22:06:37,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Монстр,Летучая мышь,,Поцелуй,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 22:51:46,Другое,Летучая мышь,Слон,"Два разных человека, взаимодействующих друг с другом",Большое животное,Моль,,Головы женщин,Моль,"Что-то, связанное с человеком",Лобстер,,Я гуманитарий,Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
13.12.2018 0:28:31,Другое,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,,Лобстер,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,Красота,Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
13.12.2018 0:32:37,Другое,Летучая мышь,Медведь,Зеркало с одним человеком,Большое животное,Летучая мышь,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное со злом",Морда,,"Умею, но не люблю",Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
13.12.2018 0:35:32,Другое,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Морда,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
13.12.2018 2:02:22,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,,Головы женщин,Четырехлапое животное,,Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,"Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
13.12.2018 3:31:01,Другое,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,,Головы детей,Четырехлапое животное,,Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое","Хватит учебы, хочу работать","Естественно, соцсети!","Пусть четко скажут, что делать",Каждый сам за себя,В шумной веселой компании,"И то, и то, и побольше"
13.12.2018 8:25:42,Другое,Моль,Собака,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,,Головы женщин,Бабочка,"Что-то, связанное с человеком",Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Хочу быть начальником,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
13.12.2018 8:32:51,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Шкура животного,Летучая мышь,Шкура животного,Головы женщин,Бабочка,"Что-то, связанное с человеком",Краб,Консультант в сфере ИТ технологий,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
13.12.2018 8:38:34,Другое,Лицо животного,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Моль,,Головы женщин,Бабочка,"Что-то, связанное с человеком",Лобстер,,Я гуманитарий,Свобода и стартап,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
13.12.2018 10:28:38,Другое,Бабочки,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Головы женщин,Бабочка,"Что-то, связанное с человеком",Змеи,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,Хочу заниматься интересным делом
13.12.2018 11:52:58,Другое,Моль,Слон,Зеркало с одним человеком,Монстр,Бабочки,,Поцелуй,Четырехлапое животное,,Змеи,6) дракон,Очень!,Стабильность и серьезная компания,Решать задачи,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 14:50:34,BackEnd,Моль,Слон,"Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,Иное,Иное,Иное,,Краб,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 14:57:30,BackEnd,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,Шкура животного,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 15:00:44,BackEnd,Летучая мышь,Молящийся Человек,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Иное,Иное,Иное,"Что-то, связанное со злом",Иное,,"Умею, но не люблю","Главное, чтобы было интересно",Решать задачи,Рисую для себя,Функциональность,Учиться всю жизнь!,"Естественно, соцсети!",Хочу быть начальником,Главное в жизни - друзья!,В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:04:52,BackEnd,Лицо животного,Медведь,"Два разных человека, взаимодействующих друг с другом",Иное,Моль,Иное,Головы женщин,Четырехлапое животное,Иное,Иное,"4. Курица
6. Топор
9. Два оленя
10. Эйфелева башня",Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:05:35,BackEnd,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Моль,Иное,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Краб,,Я гуманитарий,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,Каждый сам за себя,За компьютером,"И то, и то, и побольше"
12.12.2018 15:06:18,BackEnd,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,,Поцелуй,Четырехлапое животное,"Что-то, связанное со злом",Краб,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:06:22,BackEnd,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Большое животное,Летучая мышь,Иное,Головы женщин,Четырехлапое животное,,Краб,"2 лицо, 6 стрекоза, ","Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 15:06:45,BackEnd,Моль,"Человек, который смотрит на себя в зеркало",Зеркало с одним человеком,Шкура животного,Моль,Иное,Поцелуй,Четырехлапое животное,Иное,Иное,,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,Каждый сам за себя,За компьютером,"И то, и то, и побольше"
12.12.2018 15:06:54,BackEnd,Бабочки,"Человек, который смотрит на себя в зеркало",Иное,Шкура животного,Бабочки,Иное,Поцелуй,Иное,Иное,Краб,"3 - фокусник, 6 - люстра, 8 - гепардов, 9 - цирковое представление",Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,Главное в жизни - друзья!,В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:09:31,BackEnd,Бабочки,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Иное,Головы женщин,Иное,"Что-то, связанное с человеком",Морда,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:09:58,BackEnd,Летучая мышь,Иное,Иное,Шкура животного,Моль,Иное,Иное,Иное,Иное,Иное,,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:12:52,BackEnd,Бабочки,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,Шкура животного,Поцелуй,Иное,Иное,Краб,"9 - Цветок с лепистками, похожими на оленей) 8 - Две пантеры летят на двух сцепившехся бабочках","Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Люблю учить!,"Естественно, соцсети!",Хочу быть начальником,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:17:00,BackEnd,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Бабочки,Иное,Иное,Иное,Иное,Иное,"6. Подставка для наушников
7. Зайцы на морозе слиплись попами
8. Парусник на который карабкаются хамелеоны
9. Фонтан со статуями наверху
10. Салют у эйфелевой башни",Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:18:27,BackEnd,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Иное,Бабочки,Шкура животного,Иное,Иное,Иное,Иное,,"Умею, но не люблю",Стабильность и серьезная компания,Работать над проектами,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Естественно, соцсети!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 15:20:11,BackEnd,Лицо животного,Медведь,Иное,Шкура животного,Моль,Шкура животного,Иное,Четырехлапое животное,Иное,Краб,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,"Естественно, соцсети!","Пусть четко скажут, что делать","Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:23:53,BackEnd,Иное,Иное,Иное,Иное,Моль,,Иное,Иное,"Что-то, связанное с человеком",Иное,,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Профессиональный художник,Функциональность,Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:37:12,BackEnd,Летучая мышь,Иное,Иное,Монстр,Бабочки,Шкура животного,Иное,Четырехлапое животное,Иное,Паук,"2 - бородатое лицо, 3 - смокинг с бабочкой, 7 - тучи, 9 -цветок",Очень!,"Главное, чтобы было интересно",Решать задачи,Рисую для себя,Функциональность,Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 15:48:44,BackEnd,Моль,Медведь,Иное,Большое животное,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Иное,,"Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 15:58:38,BackEnd,Летучая мышь,Молящийся Человек,Иное,Шкура животного,Бабочки,Иное,Иное,Иное,"Что-то, связанное с человеком",Гусениц,3- человек в костюме с бабочкой,Я гуманитарий,Стабильность и серьезная компания,Создавать новые продукты,Совсем не умею рисовать,Функциональность,Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,Главное в жизни - друзья!,За компьютером,"И то, и то, и побольше"
12.12.2018 16:04:13,BackEnd,Летучая мышь,Медведь,Зеркало с одним человеком,Иное,Летучая мышь,Иное,Иное,Четырехлапое животное,"Что-то, связанное с человеком",Краб,7 кролик,Я гуманитарий,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,"Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",С книжкой в одиночестве,"И то, и то, и побольше"
12.12.2018 16:18:07,BackEnd,Летучая мышь,Иное,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Иное,Головы женщин,Четырехлапое животное,Иное,Морда,"2- Лицо демона, 6 - Скрипка, 9 - Оленьи рога","Умею, но не люблю",Стабильность и серьезная компания,Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Хочу заниматься интересным делом
12.12.2018 16:19:43,BackEnd,Иное,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,Шкура животного,Поцелуй,Иное,"Что-то, связанное со злом",Иное,,Я гуманитарий,"Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Естественно, соцсети!",Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 16:36:43,BackEnd,Летучая мышь,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,,Головы детей,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",В шумной веселой компании,"И то, и то, и побольше"
12.12.2018 16:41:16,BackEnd,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура монстра,Летучая мышь,,Поцелуй,Моль,,Краб,,"Умею, но не люблю",Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:41:41,BackEnd,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Шкура животного,Летучая мышь,,Головы женщин,Четырехлапое животное,,Лобстер,,Очень!,Стабильность и серьезная компания,Создавать новые продукты,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:42:42,BackEnd,Моль,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,,Поцелуй,Бабочка,,Гусениц,"6) Раздавленный енот
9)  Гитара","Умею, но не люблю","Главное, чтобы было интересно",Работать над проектами,Совсем не умею рисовать,Функциональность,"Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:44:13,BackEnd,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Монстр,Летучая мышь,,Поцелуй,Бабочка,"Что-то, связанное с человеком",Лобстер,,Очень!,Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,Функциональность,"Хватит учебы, хочу работать","Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 16:49:35,BackEnd,Лицо животного,Слон,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Шкура животного,Головы женщин,Четырехлапое животное,,Краб,,Очень!,"Главное, чтобы было интересно",Создавать новые продукты,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 16:50:55,BackEnd,Летучая мышь,Собака,"Два разных человека, взаимодействующих друг с другом",Шкура монстра,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,,Краб,,"Умею, но не люблю","Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое","Хватит учебы, хочу работать","Конечно, игры!","Пусть четко скажут, что делать",Каждый сам за себя,За компьютером,"И то, и то, и побольше"
12.12.2018 16:50:56,BackEnd,Летучая мышь,Медведь,"Два разных человека, взаимодействующих друг с другом",Шкура животного,Моль,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Гусениц,,Очень!,Стабильность и серьезная компания,Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,Работа важнее!,Будем все решать вместе,Каждый сам за себя,За компьютером,Хочу заниматься интересным делом
12.12.2018 16:53:02,BackEnd,Летучая мышь,Медведь,Зеркало с одним человеком,Большое животное,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное с человеком",Краб,,Я гуманитарий,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Люблю учить!,"Конечно, игры!",Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,Без денег никуда
12.12.2018 16:55:01,BackEnd,Моль,Медведь,Зеркало с одним человеком,Шкура животного,Летучая мышь,Шкура животного,Головы женщин,Четырехлапое животное,"Что-то, связанное со злом",Лобстер,,Очень!,"Главное, чтобы было интересно",Решать задачи,Совсем не умею рисовать,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Будем все решать вместе,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
12.12.2018 17:00:47,BackEnd,Моль,"Человек, который смотрит на себя в зеркало","Два разных человека, взаимодействующих друг с другом",Большое животное,Бабочки,Шкура животного,Поцелуй,Четырехлапое животное,"Что-то, связанное с человеком",Лобстер,,Очень!,"Главное, чтобы было интересно",Работать над проектами,Рисую для себя,"Важно и то, и другое",Учиться всю жизнь!,Работа важнее!,Хочу быть начальником,"Думаю о себе, но не забываю о других",За компьютером,"И то, и то, и побольше"
